from_code,edge_type,to_code,required,strength
CHN.G1.PY.INI_ShengMu,PREREQUISITE_OF,CHN.G1.PY.BLEND,true,0.85
CHN.G1.PY.INI_YunMu,PREREQUISITE_OF,CHN.G1.PY.BLEND,true,0.85
CHN.G1.PY.BLEND,PREREQUISITE_OF,CHN.G1.PY.TONE,true,0.85
CHN.G1.PY.TONE,PREREQUISITE_OF,CHN.G1.VOC.CORE_300,true,0.8
CHN.G1.WR.STROKE,PREREQUISITE_OF,CHN.G1.WR.ORDER,true,0.85
CHN.G1.VOC.CORE_300,PREREQUISITE_OF,CHN.G1.VOC.MEANING,true,0.85
CHN.G1.VOC.MEANING,PREREQUISITE_OF,CHN.G1.WORD.SENTENCE,true,0.85
CHN.G1.READ.LOUD,PREREQUISITE_OF,CHN.G1.READ.SILENT,true,0.8
CHN.G1.WORD.SENTENCE,PREREQUISITE_OF,CHN.G1.WRITE.PICTURE,true,0.85
CHN.G1.PY.BLEND,HAS_MISCONCEPTION,CHN.G1.MIS.PY_CONFUSE,true,0.8
CHN.G1.PY.TONE,HAS_MISCONCEPTION,CHN.G1.MIS.TONE_FLAT,true,0.8
CHN.G1.WR.ORDER,HAS_MISCONCEPTION,CHN.G1.MIS.STROKE_ORDER,true,0.8
CHN.G1.VOC.CORE_300,HAS_MISCONCEPTION,CHN.G1.MIS.GUESS_CHAR,true,0.8
