from_code,edge_type,to_code,required,strength
ENG.G1.PH.ALPHABET,PREREQUISITE_OF,ENG.G1.PH.LOWER_UPPER,true,0.85
ENG.G1.PH.ALPHABET,PREREQUISITE_OF,ENG.G1.PH.PHONICS_CVC,true,0.85
ENG.G1.PH.PHONICS_CVC,PREREQUISITE_OF,ENG.G1.READ.SIGHT,true,0.8
ENG.G1.VOC.COLORS,PREREQUISITE_OF,ENG.G1.GRM.BE_AM_IS,true,0.75
ENG.G1.VOC.CLASSROOM,PREREQUISITE_OF,ENG.G1.LIS.ORDERS,true,0.85
ENG.G1.GRM.BE_AM_IS,PREREQUISITE_OF,ENG.G1.GRM.PLURAL_S,true,0.8
ENG.G1.SPE.ORAL_WORD,PREREQUISITE_OF,ENG.G1.LIS.ORDERS,true,0.75
ENG.G1.PH.PHONICS_CVC,HAS_MISCONCEPTION,ENG.G1.MIS.LETTER_NAME_SOUND,true,0.8
ENG.G1.GRM.BE_AM_IS,HAS_MISCONCEPTION,ENG.G1.MIS.BE_OMIT,true,0.85
ENG.G1.GRM.PLURAL_S,HAS_MISCONCEPTION,ENG.G1.MIS.PLURAL_ES,true,0.8
