code,node_type,name,description,grade
MATH.G1.NUM.COUNT_WITHIN_10,SKILL,10以内数数,按顺序点数并说出总数,1
MATH.G1.NUM.COMPARE_WITHIN_10,SKILL,10以内比大小,比较两个数的大小,1
MATH.G1.NUM.DECOMP_WITHIN_10,SKILL,10以内数的分解,把一个数分成两部分,1
MATH.G1.NUM.COMPOSITION_10,SKILL,10的组成,凑十相关的数的组成,1
MATH.G1.ADD.WITHIN_10,SKILL,10以内加法,10以内不进位加法,1
MATH.G1.ADD.WITHIN_20_NO_CARRY,SKILL,20以内不进位加法,如12+5,1
MATH.G1.ADD.WITHIN_20_CARRY,SKILL,20以内进位加法,凑十进位,1
MATH.G1.SUB.TAKE_AWAY_MEANING,SKILL,减法的去掉意义,理解拿走变少,1
MATH.G1.SUB.WITHIN_10,SKILL,10以内减法,10以内不退位减法,1
MATH.G1.SUB.WITHIN_20_NO_BORROW,SKILL,20以内不退位减法,如18-5,1
MATH.G1.SUB.WITHIN_20_BORROW,SKILL,20以内退位减法,破十法,1
MATH.G1.WORD.ADD_SUB_ONE_STEP,SKILL,一步加减应用题,一步计算的应用题,1
MATH.G1.MIS.ADD_INSTEAD_OF_SUB,MISCONCEPTION,见两数就相加,减法题用加法算,1
MATH.G1.MIS.COUNT_SKIP,MISCONCEPTION,点数漏数或重数,数数结果不稳定,1
MATH.G1.MIS.CARRY_FORGET,MISCONCEPTION,进位忘记加十位,进位加法十位漏加,1
MATH.G1.MIS.BORROW_FORGET,MISCONCEPTION,退位忘记减十位,退位减法十位未减,1
MATH.G1.PROBE.MORE_OR_LESS,DIAGNOSTIC_PROBE,判断变多还是变少,情境问数量变化方向,1
MATH.G1.PROBE.DECOMP_CHECK,DIAGNOSTIC_PROBE,分解两个数凑目标,如7可以分成几和几,1
MATH.G1.INT.DOT_COVER,INTERVENTION,圆点遮挡练习,用盖住圆点体会拿走,1
MATH.G1.INT.ORAL_TAKE_AWAY,INTERVENTION,口头拿走练习,口述5拿走2,1
MATH.G1.INT.TEN_FRAME,INTERVENTION,十格阵凑十,用十格阵练进位,1
MATH.G1.INT.BREAK_TEN,INTERVENTION,破十法口练,退位减法破十步骤,1
MATH.G1.GEO.RECOGNIZE_SHAPES,SKILL,认识平面图形,长方形正方形圆三角形,1
MATH.G1.MEA.COMPARE_LENGTH,SKILL,比较长短,直接比较物体长短,1
MATH.G1.TIME.HALF_HOUR,SKILL,认识整时半时,钟表整点和半点,1
MATH.G2.NUM.WITHIN_100,SKILL,100以内数的认识,数位与读写,2
MATH.G2.ADD.WITHIN_100,SKILL,100以内加法,含进位,2
MATH.G2.SUB.WITHIN_100,SKILL,100以内减法,含退位,2
MATH.G2.MUL.MEANING,SKILL,乘法的意义,相同加数的简便运算,2
MATH.G2.MUL.TABLE_2_9,SKILL,乘法口诀2-9,熟练乘法口诀,2
MATH.G2.MUL.ONE_DIGIT,SKILL,一位数乘两位数,竖式乘法入门,2
MATH.G2.DIV.MEANING,SKILL,除法的意义,平均分与包含除,2
MATH.G2.DIV.TABLE_RELATION,SKILL,乘除互逆关系,用口诀求商,2
MATH.G2.DIV.SIMPLE,SKILL,表内除法,用2-9口诀求商,2
MATH.G2.WORD.MUL_DIV_ONE_STEP,SKILL,一步乘除应用题,一步乘除题意,2
MATH.G2.MUL.TWO_DIGIT,SKILL,两位数乘一位数,口算与竖式,2
MATH.G2.GEO.SYMMETRY,SKILL,轴对称初步,认识对称图形,2
MATH.G2.MEA.LENGTH_CM,SKILL,厘米与米,用厘米米测量,2
MATH.G2.MIS.MUL_AS_ADD,MISCONCEPTION,乘法当重复加法但数错,乘法意义对但加错,2
MATH.G2.MIS.DIV_REMAINDER_IGNORE,MISCONCEPTION,有余数除法忽略余数,有余数题写整除,2
MATH.G2.MIS.TABLE_SWAP,MISCONCEPTION,口诀前后数颠倒,如六七四十二记错,2
MATH.G2.MIS.PLACE_VALUE,MISCONCEPTION,数位对齐错误,竖式个十百对齐错,2
MATH.G2.PROBE.MUL_GROUPS,DIAGNOSTIC_PROBE,几组几个,判断乘法情境,2
MATH.G2.PROBE.DIV_SHARE,DIAGNOSTIC_PROBE,平均分几份,判断除法平均分,2
MATH.G2.INT.ARRAY_DOTS,INTERVENTION,点阵画乘法,用阵列理解乘法,2
MATH.G2.INT.DIV_SHARE_REAL,INTERVENTION,实物平均分,分豆子练除法,2
MATH.G2.INT.TABLE_DRILL,INTERVENTION,口诀卡片过关,分散复习口诀,2
MATH.G3.NUM.WITHIN_10000,SKILL,万以内数的认识,读写与大小比较,3
MATH.G3.ADD.SUB_MULTI_DIGIT,SKILL,三四位数加减,连续进位退位,3
MATH.G3.MUL.MULTI_DIGIT,SKILL,多位数乘一位数,竖式乘法,3
MATH.G3.DIV.MULTI_DIGIT,SKILL,除数是一位数的除法,竖式除法,3
MATH.G3.FRA.UNIT_FRACTION,SKILL,分数初步认识,几分之一,3
MATH.G3.FRA.COMPARE_SAME_DEN,SKILL,同分母分数比大小,同分母比较,3
MATH.G3.FRA.ADD_SAME_DEN,SKILL,同分母分数加减,分母不变分子加减,3
MATH.G3.GEO.PERIMETER,SKILL,长方形周长,周长公式与计算,3
MATH.G3.GEO.AREA_INTRO,SKILL,面积初步,面积单位与长方形面积,3
MATH.G3.WORD.TWO_STEP,SKILL,两步计算应用题,中间问题与综合算式,3
MATH.G3.TIME.HOUR_MINUTE,SKILL,时分的认识与计算,时间加减,3
MATH.G3.MEA.KG_G,SKILL,千克与克,质量单位换算,3
MATH.G3.MIS.FRA_NUM_DEN_SWAP,MISCONCEPTION,分子分母颠倒,分数写反,3
MATH.G3.MIS.PERIMETER_AREA_MIX,MISCONCEPTION,周长面积混淆,求周长用面积公式,3
MATH.G3.MIS.DIV_ORDER_WRONG,MISCONCEPTION,除法竖式商位错,商的位置或乘减错,3
MATH.G3.MIS.TWO_STEP_WRONG_OP,MISCONCEPTION,两步题运算顺序错,先算后面或选错运算,3
MATH.G3.PROBE.FRA_PARTS,DIAGNOSTIC_PROBE,平均分成几份,分数几分之一情境,3
MATH.G3.PROBE.PERIM_OR_AREA,DIAGNOSTIC_PROBE,要围边还是铺面,区分周长面积需求,3
MATH.G3.INT.FRA_PAPER_FOLD,INTERVENTION,折纸分数,对折认识几分之一,3
MATH.G3.INT.PERIM_WALK,INTERVENTION,沿边行走周长,走一圈体会周长,3
MATH.G3.INT.TWO_STEP_DRAW,INTERVENTION,线段图两步题,画中间问题,3
